ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9060
14722137,2015-12-09 19:42:38,606A - Magic Spheres,GNU C++,Wrong answer on test 14,15 ms,0 KB
14718159,2015-12-09 19:19:20,606A - Magic Spheres,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
14717676,2015-12-09 19:17:00,606A - Magic Spheres,GNU C++,Wrong answer on pretest 8,15 ms,0 KB
14541875,2015-11-28 16:49:44,600B - Queries about less or equal elements,GNU C++,Accepted,156 ms,1600 KB
14541277,2015-11-28 16:14:07,600B - Queries about less or equal elements,GNU C++,Time limit exceeded on test 10,2000 ms,1600 KB
14523344,2015-11-27 19:52:45,600B - Queries about less or equal elements,GNU C++,Wrong answer on test 2,15 ms,2400 KB
14230080,2015-11-13 18:18:17,598A - Tricky Sum,GNU C++,Accepted,15 ms,0 KB
14124876,2015-11-07 16:34:36,588A - Duff and Meat,GNU C++,Accepted,31 ms,800 KB
14124715,2015-11-07 16:23:01,588A - Duff and Meat,GNU C++,Wrong answer on test 6,15 ms,800 KB
14124615,2015-11-07 16:17:19,588A - Duff and Meat,GNU C++,Runtime error on test 1,0 ms,800 KB
14124578,2015-11-07 16:15:06,588A - Duff and Meat,GNU C++,Runtime error on test 1,0 ms,800 KB
