ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:20622
18354403,2016-06-10 11:00:43,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
18354123,2016-06-10 10:42:39,677A - Vanya and Fence,GNU C++11,Accepted,15 ms,2200 KB
18354058,2016-06-10 10:37:56,680A - Bear and Five Cards,GNU C++11,Accepted,15 ms,2200 KB
17761009,2016-05-06 15:24:53,670B - Game of Robots,GNU C++11,Time limit exceeded on test 13,1000 ms,6100 KB
17760982,2016-05-06 15:23:39,670C - Cinema,GNU C++11,Accepted,1934 ms,23300 KB
17760979,2016-05-06 15:23:24,670B - Game of Robots,GNU C++11,Wrong answer on test 1,0 ms,5900 KB
17760970,2016-05-06 15:22:51,670A - Holidays,GNU C++11,Accepted,31 ms,2200 KB
17341890,2016-04-16 17:49:23,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,421 ms,5000 KB
17341379,2016-04-16 17:09:45,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,405 ms,4100 KB
17148385,2016-04-03 19:54:40,659D - Bicycle Race,GNU C++11,Accepted,15 ms,2200 KB
17148363,2016-04-03 19:52:49,659D - Bicycle Race,GNU C++11,Wrong answer on test 7,15 ms,2100 KB
17148236,2016-04-03 19:42:30,659D - Bicycle Race,GNU C++11,Wrong answer on test 3,15 ms,2100 KB
17147971,2016-04-03 19:20:00,659C - Tanya and Toys,GNU C++11,Accepted,327 ms,2800 KB
17147931,2016-04-03 19:17:18,659C - Tanya and Toys,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17147695,2016-04-03 18:58:55,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,405 ms,19700 KB
17147662,2016-04-03 18:56:13,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,436 ms,11200 KB
17147630,2016-04-03 18:53:31,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,420 ms,11400 KB
17138843,2016-04-03 06:00:17,659A - Round House,GNU C++11,Accepted,15 ms,2200 KB
17138827,2016-04-03 05:58:55,659A - Round House,GNU C++11,Wrong answer on test 3,0 ms,2000 KB
17138801,2016-04-03 05:55:53,659A - Round House,GNU C++11,Wrong answer on test 19,15 ms,2200 KB
16891517,2016-03-23 19:19:50,648C - Путь Робота,GNU C++11,Accepted,30 ms,2200 KB
16889862,2016-03-23 18:33:20,648B - Собери стол,GNU C++11,Accepted,30 ms,2600 KB
16889244,2016-03-23 18:20:18,648A - Наибольший подъем,GNU C++11,Accepted,15 ms,2200 KB
16889202,2016-03-23 18:19:29,648A - Наибольший подъем,GNU C++11,Runtime error on pretest 1,15 ms,2200 KB
16880955,2016-03-23 08:49:27,646A - Три брата,GNU C++11,Accepted,15 ms,2000 KB
16312209,2016-02-24 19:07:47,629B - Far Relative’s Problem,GNU C++11,Accepted,31 ms,100 KB
16312129,2016-02-24 19:03:28,629B - Far Relative’s Problem,GNU C++11,Wrong answer on test 1,0 ms,100 KB
16311897,2016-02-24 18:50:49,629A - Far Relative’s Birthday Cake,GNU C++11,Accepted,31 ms,0 KB
16311150,2016-02-24 18:10:18,630A - Again Twenty Five!,GNU C++11,Accepted,15 ms,0 KB
15983585,2016-02-13 11:04:35,586C - Gennady the Dentist,GNU C++11,Accepted,62 ms,200 KB
15983548,2016-02-13 11:01:19,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 56,46 ms,200 KB
15983528,2016-02-13 10:59:24,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 56,46 ms,100 KB
15983255,2016-02-13 10:39:56,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 12,15 ms,100 KB
15982580,2016-02-13 09:44:01,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 13,15 ms,100 KB
15982575,2016-02-13 09:43:30,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 1,0 ms,200 KB
15961643,2016-02-11 21:11:52,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 12,15 ms,100 KB
15961604,2016-02-11 21:09:44,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 1,0 ms,200 KB
15872871,2016-02-07 14:27:56,586A - Alena's Schedule,GNU C++11,Accepted,15 ms,0 KB
15872831,2016-02-07 14:27:22,586B - Laurenty and Shop,GNU C++11,Accepted,15 ms,0 KB
15872782,2016-02-07 14:26:24,586A - Alena's Schedule,GNU C++11,Wrong answer on test 1,15 ms,200 KB
15872655,2016-02-07 14:23:47,586B - Laurenty and Shop,GNU C++11,Time limit exceeded on test 1,1000 ms,200 KB
15872576,2016-02-07 14:15:49,586B - Laurenty and Shop,GNU C++11,Wrong answer on test 2,15 ms,0 KB
15872479,2016-02-07 14:12:01,586B - Laurenty and Shop,GNU C++11,Time limit exceeded on test 1,1000 ms,200 KB
15872474,2016-02-07 14:11:38,586A - Alena's Schedule,GNU C++11,Wrong answer on test 1,0 ms,200 KB
15265764,2016-01-09 10:54:55,609B - The Best Gift,GNU C++11,Accepted,234 ms,0 KB
15181356,2016-01-04 16:17:16,572B - Order Book,GNU C++11,Compilation error,0 ms,0 KB
15180216,2016-01-04 14:14:02,574A - Bear and Elections,GNU C++,Accepted,15 ms,0 KB
15160887,2016-01-02 20:12:03,572B - Order Book,GNU C++,Wrong answer on test 1,15 ms,1800 KB
15160488,2016-01-02 19:25:32,572B - Order Book,GNU C++,Wrong answer on test 10,15 ms,1600 KB
15160430,2016-01-02 19:18:23,572B - Order Book,GNU C++,Wrong answer on test 3,15 ms,1600 KB
15160413,2016-01-02 19:17:15,572B - Order Book,GNU C++,Compilation error,0 ms,0 KB
15160009,2016-01-02 18:30:21,572A - Arrays,GNU C++,Accepted,483 ms,800 KB
15159997,2016-01-02 18:28:37,572A - Arrays,GNU C++,Compilation error,0 ms,0 KB
15159990,2016-01-02 18:27:58,572A - Arrays,GNU C++,Compilation error,0 ms,0 KB
14701258,2015-12-08 19:42:35,570A - Elections,GNU C++,Accepted,31 ms,100 KB
14701231,2015-12-08 19:40:40,570A - Elections,GNU C++,Accepted,31 ms,3900 KB
14701200,2015-12-08 19:38:13,570A - Elections,GNU C++,Memory limit exceeded on test 1,15 ms,262100 KB
14700789,2015-12-08 19:08:31,570A - Elections,GNU C++,Wrong answer on test 31,30 ms,100 KB
14630113,2015-12-03 10:35:29,569A - Music,GNU C++,Accepted,15 ms,0 KB
14629508,2015-12-03 09:42:55,569A - Music,GNU C++,Wrong answer on test 7,15 ms,0 KB
14629455,2015-12-03 09:38:26,569A - Music,GNU C++,Wrong answer on test 7,15 ms,0 KB
14629239,2015-12-03 09:17:12,569B - Inventory,GNU C++,Wrong answer on test 6,0 ms,100 KB
14629190,2015-12-03 09:11:16,569A - Music,GNU C++,Wrong answer on test 2,15 ms,0 KB
14629176,2015-12-03 09:09:45,569A - Music,GNU C++,Wrong answer on test 2,15 ms,0 KB
14629028,2015-12-03 08:51:52,569B - Inventory,GNU C++,Wrong answer on test 6,15 ms,100 KB
14426154,2015-11-23 15:44:11,597B - Restaurant,GNU C++,Accepted,2433 ms,6100 KB
14426142,2015-11-23 15:43:16,597B - Restaurant,GNU C++,Compilation error,0 ms,0 KB
14420537,2015-11-23 03:52:32,599A - Patrick and Shopping,GNU C++,Accepted,15 ms,0 KB
14328844,2015-11-18 18:57:53,439B - Devu, the Dumb Guy,GNU C++,Accepted,202 ms,800 KB
14328818,2015-11-18 18:56:35,439B - Devu, the Dumb Guy,GNU C++,Wrong answer on test 12,186 ms,400 KB
14328468,2015-11-18 18:29:54,439B - Devu, the Dumb Guy,GNU C++,Wrong answer on test 8,156 ms,400 KB
14328459,2015-11-18 18:29:18,439B - Devu, the Dumb Guy,GNU C++,Wrong answer on test 1,0 ms,400 KB
14328372,2015-11-18 18:19:51,439B - Devu, the Dumb Guy,GNU C++,Wrong answer on test 8,171 ms,400 KB
14328320,2015-11-18 18:15:05,439A - Devu  the Singer and Churu  the Joker,GNU C++,Accepted,15 ms,0 KB
14328310,2015-11-18 18:14:35,439A - Devu  the Singer and Churu  the Joker,GNU C++,Compilation error,0 ms,0 KB
14299530,2015-11-16 17:50:45,437A - The Child and Homework,GNU C++,Accepted,15 ms,0 KB
14299503,2015-11-16 17:48:18,437A - The Child and Homework,GNU C++,Wrong answer on test 3,15 ms,0 KB
14241580,2015-11-13 21:01:43,344D - Alternating Current,GNU C++,Accepted,62 ms,200 KB
14241559,2015-11-13 21:00:38,344D - Alternating Current,GNU C++,Wrong answer on test 4,30 ms,0 KB
14237586,2015-11-13 19:39:05,344A - Magnets,GNU C++,Accepted,278 ms,500 KB
14137224,2015-11-08 10:33:52,6E - Exposition,GNU C++,Accepted,296 ms,5200 KB
14033126,2015-11-02 22:40:34,6E - Exposition,GNU C++,Time limit exceeded on test 29,1500 ms,3900 KB
14033055,2015-11-02 22:34:31,6E - Exposition,GNU C++,Wrong answer on test 6,15 ms,3900 KB
14032985,2015-11-02 22:29:02,6E - Exposition,GNU C++,Wrong answer on test 4,15 ms,3900 KB
14012844,2015-11-01 21:04:26,6C - Alice, Bob and Chocolate,GNU C++,Accepted,468 ms,400 KB
14012792,2015-11-01 20:59:56,6C - Alice, Bob and Chocolate,GNU C++,Wrong answer on test 2,0 ms,400 KB
14012354,2015-11-01 20:29:52,6A - Triangle,GNU C++,Accepted,62 ms,0 KB
14012329,2015-11-01 20:28:15,6A - Triangle,GNU C++,Wrong answer on test 3,30 ms,0 KB
14012287,2015-11-01 20:26:00,6A - Triangle,GNU C++,Wrong answer on test 2,30 ms,0 KB
14011883,2015-11-01 20:00:54,6A - Triangle,GNU C++,Wrong answer on test 1,0 ms,0 KB
14011767,2015-11-01 19:54:05,6A - Triangle,GNU C++,Wrong answer on test 2,30 ms,0 KB
13772863,2015-10-21 17:10:16,587A - Duff and Weight Lifting,GNU C++,Time limit exceeded on test 11,1000 ms,3900 KB
13772400,2015-10-21 16:42:58,587A - Duff and Weight Lifting,GNU C++,Wrong answer on test 6,15 ms,0 KB
13770361,2015-10-21 14:40:10,82A - Double Cola,GNU C++,Accepted,31 ms,0 KB
