ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:21748
3370334,2013-03-21 19:59:04,285C - Building Permutation,GNU C++,Accepted,578 ms,2300 KB
3358521,2013-03-19 23:12:37,282E - Sausage Maximization,GNU C++,Wrong answer on test 8,15 ms,0 KB
3307977,2013-03-13 20:55:33,282C - XOR and OR,GNU C++,Accepted,265 ms,3100 KB
3306396,2013-03-13 20:36:21,282B - Painting Eggs,GNU C++,Accepted,1843 ms,1000 KB
3303612,2013-03-13 20:05:45,282A - Bit++,GNU C++,Accepted,31 ms,0 KB
3025428,2013-01-28 20:10:00,268C - Beautiful Sets of Points,GNU C++,Accepted,15 ms,0 KB
3025186,2013-01-28 20:06:59,268C - Beautiful Sets of Points,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
3024350,2013-01-28 19:58:54,268B - Buttons,GNU C++,Accepted,15 ms,0 KB
3022166,2013-01-28 19:43:12,268A - Games,GNU C++,Accepted,15 ms,0 KB
2942845,2013-01-16 20:49:41,263D - Cycle in Graph,GNU C++,Wrong answer on pretest 3,0 ms,3900 KB
2942809,2013-01-16 20:48:56,263D - Cycle in Graph,GNU C++,Memory limit exceeded on pretest 1,15 ms,262100 KB
2939482,2013-01-16 19:47:16,263B - Squares,GNU C++,Accepted,15 ms,0 KB
2937950,2013-01-16 19:36:58,263A - Beautiful Matrix,GNU C++,Accepted,15 ms,0 KB
2919634,2013-01-13 21:06:21,262B - Roma and Changing Signs,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
2917083,2013-01-13 20:20:45,262C - Maxim and Discounts,GNU C++,Accepted,234 ms,800 KB
2915183,2013-01-13 19:57:59,262B - Roma and Changing Signs,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
2914354,2013-01-13 19:50:47,262B - Roma and Changing Signs,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
2912458,2013-01-13 19:37:37,262A - Roma and Lucky Numbers,GNU C++,Accepted,15 ms,0 KB
2889306,2013-01-08 20:29:20,257B - Playing Cubes,GNU C++,Accepted,15 ms,0 KB
2888139,2013-01-08 20:10:15,257A - Sockets,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
2887285,2013-01-08 19:57:26,257A - Sockets,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
2813694,2012-12-22 20:44:40,259B - Little Elephant and Magic Square,GNU C++,Accepted,15 ms,0 KB
2812804,2012-12-22 20:27:43,259C - Little Elephant and Bits,GNU C++,Accepted,62 ms,300 KB
2811667,2012-12-22 20:10:12,259A - Little Elephant and Chess,GNU C++,Accepted,15 ms,0 KB
2794406,2012-12-19 15:50:09,255C - Almost Arithmetical Progression,GNU C++,Wrong answer on test 4,0 ms,0 KB
2777164,2012-12-16 20:08:44,255B - Code Parsing,GNU C++,Accepted,468 ms,2100 KB
2775810,2012-12-16 19:50:51,255A - Greg's Workout,GNU C++,Accepted,15 ms,0 KB
2500621,2012-11-04 20:29:00,239A - Two Bags of Potatoes,GNU C++,Accepted,62 ms,0 KB
2498824,2012-11-04 20:09:21,239A - Two Bags of Potatoes,GNU C++,Time limit exceeded on pretest 4,1000 ms,0 KB
2433431,2012-10-25 21:15:14,237C - Primes on Interval,GNU C++,Time limit exceeded on pretest 10,2000 ms,4900 KB
2433224,2012-10-25 21:10:09,237C - Primes on Interval,GNU C++,Time limit exceeded on pretest 10,2000 ms,4900 KB
2433134,2012-10-25 21:08:00,237C - Primes on Interval,GNU C++,Time limit exceeded on pretest 10,2000 ms,35200 KB
2432962,2012-10-25 21:04:38,237B - Young Table,GNU C++,Wrong answer on pretest 1,31 ms,1000 KB
2431911,2012-10-25 20:43:48,237C - Primes on Interval,GNU C++,Time limit exceeded on pretest 10,2000 ms,1000 KB
2427684,2012-10-25 19:40:34,237A - Free Cash,GNU C++,Accepted,156 ms,400 KB
2404007,2012-10-21 17:30:49,236C - LCM Challenge,GNU C++,Accepted,31 ms,0 KB
2403688,2012-10-21 16:53:09,236C - LCM Challenge,GNU C++,Wrong answer on test 33,15 ms,0 KB
2403678,2012-10-21 16:51:43,236B - Easy Number Challenge,GNU C++,Wrong answer on test 1,15 ms,0 KB
