ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3243
18947786,2016-07-07 12:17:38,689A - Mike and Cellphone,GNU C++,Wrong answer on test 23,15 ms,0 KB
18053887,2016-05-24 13:45:39,675B - Restoring Painting,GNU C++,Accepted,31 ms,2600 KB
18053691,2016-05-24 13:26:34,675A - Infinite Sequence,GNU C++,Accepted,30 ms,2200 KB
17978228,2016-05-18 13:59:38,313D - Ilya and Roads,GNU C++,Accepted,2402 ms,3600 KB
17977581,2016-05-18 13:11:55,313D - Ilya and Roads,GNU C++,Wrong answer on test 4,30 ms,3500 KB
17879352,2016-05-12 20:14:39,670E - Correct Bracket Sequence Editor,GNU C++,Accepted,46 ms,10200 KB
17879168,2016-05-12 19:58:51,670E - Correct Bracket Sequence Editor,GNU C++,Wrong answer on test 8,15 ms,8900 KB
17879121,2016-05-12 19:55:29,670E - Correct Bracket Sequence Editor,GNU C++,Wrong answer on test 8,15 ms,8900 KB
17871078,2016-05-12 09:45:54,670C - Cinema,GNU C++,Accepted,546 ms,28700 KB
17823042,2016-05-09 19:42:48,670B - Game of Robots,GNU C++,Accepted,46 ms,2600 KB
17822973,2016-05-09 19:35:12,670A - Holidays,GNU C++,Accepted,15 ms,2200 KB
17822965,2016-05-09 19:33:27,670A - Holidays,GNU C++,Wrong answer on test 2,15 ms,2000 KB
17822904,2016-05-09 19:28:20,670A - Holidays,GNU C++,Wrong answer on test 7,15 ms,2200 KB
17754679,2016-05-06 08:41:58,617E - XOR and Favorite Number,GNU C++,Accepted,405 ms,21300 KB
17700192,2016-05-03 18:38:47,165E - Compatible Numbers,GNU C++,Accepted,1028 ms,35000 KB
17691251,2016-05-02 17:43:53,484B - Maximum Value,GNU C++,Accepted,592 ms,3000 KB
17691220,2016-05-02 17:42:05,484B - Maximum Value,GNU C++,Time limit exceeded on test 10,1000 ms,2800 KB
17601978,2016-05-01 05:13:03,669A - Little Artem and Presents,GNU C++,Accepted,30 ms,2200 KB
17601965,2016-05-01 05:10:31,669A - Little Artem and Presents,GNU C++,Wrong answer on test 3,15 ms,2000 KB
17591605,2016-04-30 11:22:23,86D - Powerful array,GNU C++,Accepted,4928 ms,16300 KB
17591587,2016-04-30 11:20:59,86D - Powerful array,GNU C++,Time limit exceeded on test 38,5000 ms,16300 KB
17591573,2016-04-30 11:19:46,86D - Powerful array,GNU C++,Runtime error on test 1,0 ms,16100 KB
17591493,2016-04-30 11:10:52,86D - Powerful array,GNU C++,Time limit exceeded on test 43,5000 ms,16300 KB
17573801,2016-04-29 20:03:30,667B - Coat of Anticubism,GNU C++,Accepted,31 ms,2200 KB
17570095,2016-04-29 19:44:06,667A - Pouring Rain,GNU C++,Accepted,15 ms,2200 KB
17428904,2016-04-22 05:08:51,615D - Multipliers,GNU C++,Accepted,62 ms,6100 KB
17405696,2016-04-20 19:06:33,665B - Shopping,GNU C++,Accepted,31 ms,2000 KB
17403428,2016-04-20 18:35:17,665C - Simple Strings,GNU C++,Accepted,15 ms,2400 KB
17402549,2016-04-20 18:23:39,665A - Buses Between Cities,GNU C++,Accepted,15 ms,2200 KB
17358159,2016-04-17 08:34:46,664B - Rebus,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17358027,2016-04-17 08:24:56,664B - Rebus,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17357975,2016-04-17 08:17:39,664B - Rebus,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17357910,2016-04-17 08:04:40,664B - Rebus,GNU C++,Time limit exceeded on test 5,1000 ms,2200 KB
17357704,2016-04-17 07:42:12,664A - Complicated GCD,GNU C++,Accepted,15 ms,2200 KB
17264115,2016-04-10 14:43:01,660C - Hard Process,GNU C++,Accepted,78 ms,2400 KB
17263900,2016-04-10 14:26:20,660C - Hard Process,GNU C++,Runtime error on test 25,93 ms,2400 KB
17263747,2016-04-10 14:15:37,660C - Hard Process,GNU C++,Runtime error on test 3,31 ms,2400 KB
17234067,2016-04-08 18:25:48,660A - Co-prime Array,GNU C++,Accepted,15 ms,2200 KB
17233819,2016-04-08 18:23:34,660A - Co-prime Array,GNU C++,Runtime error on test 8,15 ms,2000 KB
17233310,2016-04-08 18:19:09,660A - Co-prime Array,GNU C++,Wrong answer on test 1,15 ms,2000 KB
