ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15311
15620261,2016-01-28 01:31:17,443A - Anton and Letters,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15620196,2016-01-28 01:22:50,443A - Anton and Letters,GNU C++11,Wrong answer on test 1,0 ms,0 KB
15620169,2016-01-28 01:19:10,443A - Anton and Letters,GNU C++11,Wrong answer on test 1,15 ms,0 KB
15619527,2016-01-28 00:12:24,443A - Anton and Letters,GNU C++11,Wrong answer on test 2,15 ms,0 KB
15619496,2016-01-28 00:08:52,443A - Anton and Letters,GNU C++11,Wrong answer on test 2,15 ms,0 KB
15619375,2016-01-27 23:58:44,237A - Free Cash,GNU C++11,Accepted,530 ms,800 KB
15619342,2016-01-27 23:56:24,237A - Free Cash,GNU C++11,Wrong answer on test 9,62 ms,800 KB
15619262,2016-01-27 23:49:39,237A - Free Cash,GNU C++11,Wrong answer on test 65,560 ms,800 KB
15619221,2016-01-27 23:46:16,237A - Free Cash,GNU C++11,Wrong answer on test 62,530 ms,800 KB
15619198,2016-01-27 23:43:43,237A - Free Cash,GNU C++11,Wrong answer on test 60,530 ms,800 KB
15619073,2016-01-27 23:32:29,237A - Free Cash,GNU C++11,Wrong answer on test 60,560 ms,800 KB
15619050,2016-01-27 23:30:39,237A - Free Cash,GNU C++11,Wrong answer on test 60,498 ms,800 KB
15619043,2016-01-27 23:29:50,237A - Free Cash,GNU C++11,Wrong answer on test 57,468 ms,800 KB
15619008,2016-01-27 23:26:42,237A - Free Cash,GNU C++11,Wrong answer on test 1,30 ms,800 KB
15618990,2016-01-27 23:25:13,237A - Free Cash,GNU C++11,Wrong answer on test 8,30 ms,800 KB
15618985,2016-01-27 23:24:44,237A - Free Cash,GNU C++11,Wrong answer on test 1,0 ms,800 KB
15618966,2016-01-27 23:23:07,237A - Free Cash,GNU C++11,Wrong answer on test 8,30 ms,800 KB
15618924,2016-01-27 23:19:29,237A - Free Cash,GNU C++11,Wrong answer on test 8,30 ms,800 KB
15618893,2016-01-27 23:16:46,237A - Free Cash,GNU C++11,Wrong answer on test 8,30 ms,800 KB
15618866,2016-01-27 23:14:33,237A - Free Cash,GNU C++11,Wrong answer on test 1,30 ms,800 KB
15618808,2016-01-27 23:09:31,237A - Free Cash,GNU C++11,Wrong answer on test 7,30 ms,800 KB
15618713,2016-01-27 23:01:34,237A - Free Cash,GNU C++11,Wrong answer on test 15,468 ms,800 KB
15618705,2016-01-27 23:00:50,237A - Free Cash,GNU C++11,Wrong answer on test 14,498 ms,800 KB
15618689,2016-01-27 22:59:22,237A - Free Cash,GNU C++11,Wrong answer on test 13,498 ms,800 KB
