ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15163
19905697,2016-08-16 14:17:03,706D - Vasiliy's Multiset,GNU C++11,Time limit exceeded on test 2,4000 ms,57900 KB
19905604,2016-08-16 14:12:22,706D - Vasiliy's Multiset,GNU C++11,Wrong answer on test 10,935 ms,57900 KB
19905552,2016-08-16 14:09:03,706D - Vasiliy's Multiset,GNU C++11,Wrong answer on test 10,234 ms,57900 KB
19905132,2016-08-16 13:41:35,706D - Vasiliy's Multiset,GNU C++11,Wrong answer on test 10,218 ms,57900 KB
19864626,2016-08-14 11:16:31,706C - Hard problem,GNU C++11,Accepted,108 ms,9400 KB
19864557,2016-08-14 11:12:04,706C - Hard problem,GNU C++11,Accepted,93 ms,9400 KB
19864194,2016-08-14 10:42:54,706B - Interesting drink,GNU C++11,Accepted,93 ms,2400 KB
19864180,2016-08-14 10:41:29,706B - Interesting drink,GNU C++11,Wrong answer on test 1,0 ms,2400 KB
19864124,2016-08-14 10:36:10,706A - Beru-taxi,GNU C++11,Accepted,15 ms,2000 KB
19864116,2016-08-14 10:35:30,706A - Beru-taxi,GNU C++11,Compilation error,0 ms,0 KB
19759444,2016-08-10 09:10:43,704B - Ant Man,GNU C++11,Accepted,234 ms,2300 KB
19759439,2016-08-10 09:10:16,704B - Ant Man,GNU C++11,Accepted,249 ms,2300 KB
19718206,2016-08-08 05:13:25,705C - Thor,GNU C++11,Accepted,187 ms,23200 KB
19718107,2016-08-08 05:06:22,705C - Thor,GNU C++11,Accepted,202 ms,23200 KB
19708371,2016-08-07 18:53:29,705C - Thor,GNU C++11,Accepted,218 ms,23200 KB
19693981,2016-08-07 17:24:09,705B - Spider Man,GNU C++11,Accepted,31 ms,2000 KB
19689879,2016-08-07 17:11:18,705A - Hulk,GNU C++11,Accepted,31 ms,2000 KB
19652116,2016-08-05 16:03:02,667D - World Tour,GNU C++11,Accepted,2729 ms,231000 KB
19651952,2016-08-05 15:53:38,667C - Reberland Linguistics,GNU C++11,Accepted,30 ms,2600 KB
19651856,2016-08-05 15:47:20,667B - Coat of Anticubism,GNU C++11,Accepted,31 ms,2400 KB
19648252,2016-08-05 12:03:55,6E - Exposition,GNU C++11,Accepted,436 ms,5900 KB
19648232,2016-08-05 12:02:35,6E - Exposition,GNU C++11,Compilation error,0 ms,0 KB
19648002,2016-08-05 11:50:43,6B - President's Office,GNU C++11,Accepted,30 ms,2000 KB
19647857,2016-08-05 11:43:00,18D - Seller Bob,GNU C++11,Accepted,60 ms,3300 KB
19647212,2016-08-05 11:14:10,703B - Mishka and trip,GNU C++11,Accepted,46 ms,2900 KB
