ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8788
18031404,2016-05-22 15:38:20,557B - Pasha and Tea,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
18031221,2016-05-22 15:20:45,518A - Vitaly and Strings,GNU C++11,Accepted,15 ms,2200 KB
18031218,2016-05-22 15:20:19,518A - Vitaly and Strings,GNU C++11,Wrong answer on test 10,15 ms,2200 KB
18031061,2016-05-22 15:03:34,518A - Vitaly and Strings,GNU C++11,Wrong answer on test 10,31 ms,2200 KB
18031045,2016-05-22 15:00:59,518A - Vitaly and Strings,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
18030779,2016-05-22 14:30:44,518A - Vitaly and Strings,GNU C++11,Wrong answer on test 4,0 ms,2000 KB
18030630,2016-05-22 14:17:02,115A - Party,GNU C++11,Accepted,60 ms,2200 KB
18030400,2016-05-22 13:59:01,219A - k-String,GNU C++11,Accepted,62 ms,2200 KB
18030263,2016-05-22 13:48:31,165A - Supercentral Point,GNU C++11,Accepted,30 ms,2200 KB
18029955,2016-05-22 13:23:16,387A - George and Sleep,GNU C++11,Accepted,15 ms,2200 KB
18029817,2016-05-22 13:13:32,482A - Diverse Permutation,GNU C++11,Accepted,78 ms,2600 KB
18029595,2016-05-22 13:00:55,602A - Two Bases,GNU C++11,Accepted,15 ms,2200 KB
18029569,2016-05-22 12:59:20,602A - Two Bases,GNU C++11,Wrong answer on test 13,15 ms,2200 KB
18029439,2016-05-22 12:51:56,588B - Duff in Love,GNU C++11,Accepted,46 ms,2200 KB
18029320,2016-05-22 12:41:45,3A - Shortest path of the king,GNU C++11,Accepted,30 ms,2200 KB
18029317,2016-05-22 12:41:29,3A - Shortest path of the king,GNU C++11,Wrong answer on test 1,30 ms,2000 KB
18029314,2016-05-22 12:41:06,3A - Shortest path of the king,GNU C++11,Wrong answer on test 4,30 ms,2200 KB
18029303,2016-05-22 12:40:23,3A - Shortest path of the king,GNU C++11,Wrong answer on test 1,30 ms,2000 KB
18029156,2016-05-22 12:28:35,427B - Prison Transfer,GNU C++11,Accepted,452 ms,2200 KB
18026557,2016-05-22 09:00:03,427B - Prison Transfer,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
18026543,2016-05-22 08:58:07,427B - Prison Transfer,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
18026476,2016-05-22 08:49:09,476B - Dreamoon and WiFi,GNU C++11,Accepted,30 ms,2200 KB
18026470,2016-05-22 08:48:27,476B - Dreamoon and WiFi,GNU C++11,Wrong answer on test 5,30 ms,2000 KB
18026357,2016-05-22 08:33:58,559A - Gerald's Hexagon,GNU C++11,Accepted,15 ms,2200 KB
18000437,2016-05-20 09:32:18,556B - Case of Fake Numbers,GNU C++11,Accepted,15 ms,2200 KB
18000327,2016-05-20 09:19:35,92A - Chips,GNU C++11,Accepted,30 ms,2200 KB
18000322,2016-05-20 09:19:13,92A - Chips,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17992708,2016-05-19 17:34:42,508A - Pasha and Pixels,GNU C++11,Accepted,389 ms,6000 KB
17992361,2016-05-19 17:10:17,592B - The Monster and the Squirrel,GNU C++11,Accepted,30 ms,2200 KB
17992355,2016-05-19 17:09:52,592B - The Monster and the Squirrel,GNU C++11,Wrong answer on test 3,0 ms,2000 KB
17992240,2016-05-19 17:02:26,624A - Save Luke,GNU C++11,Accepted,15 ms,2100 KB
17992229,2016-05-19 17:01:50,624A - Save Luke,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
17992054,2016-05-19 16:49:59,617B - Chocolate,GNU C++11,Accepted,15 ms,2200 KB
17992047,2016-05-19 16:49:21,617B - Chocolate,GNU C++11,Wrong answer on test 8,15 ms,2000 KB
17992038,2016-05-19 16:48:25,617B - Chocolate,GNU C++11,Wrong answer on test 7,15 ms,2200 KB
17991806,2016-05-19 16:34:21,447B - DZY Loves Strings,GNU C++11,Accepted,15 ms,2000 KB
17991717,2016-05-19 16:26:40,620A - Professor GukiZ's Robot,GNU C++11,Accepted,15 ms,2200 KB
17991711,2016-05-19 16:25:57,620A - Professor GukiZ's Robot,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
17991658,2016-05-19 16:22:34,580B - Kefa and Company,GNU C++11,Accepted,467 ms,2900 KB
17991413,2016-05-19 16:04:44,465B - Inbox (100500),GNU C++11,Accepted,15 ms,2200 KB
17991373,2016-05-19 16:02:11,465B - Inbox (100500),GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17990251,2016-05-19 14:47:36,466C - Number of Ways,GNU C++11,Accepted,1170 ms,10000 KB
17990230,2016-05-19 14:46:28,466C - Number of Ways,GNU C++11,Wrong answer on test 11,124 ms,3600 KB
17990191,2016-05-19 14:43:28,466C - Number of Ways,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
17990169,2016-05-19 14:41:34,466C - Number of Ways,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
17990150,2016-05-19 14:40:13,466C - Number of Ways,GNU C++11,Wrong answer on test 4,31 ms,2000 KB
17990107,2016-05-19 14:37:52,466C - Number of Ways,GNU C++11,Wrong answer on test 6,139 ms,3600 KB
17989933,2016-05-19 14:27:38,466C - Number of Ways,GNU C++11,Wrong answer on test 2,15 ms,2200 KB
17987274,2016-05-19 10:17:03,439B - Devu, the Dumb Guy,GNU C++11,Accepted,187 ms,3000 KB
17987269,2016-05-19 10:16:22,439B - Devu, the Dumb Guy,GNU C++11,Wrong answer on test 12,171 ms,2400 KB
17987266,2016-05-19 10:15:50,439B - Devu, the Dumb Guy,GNU C++11,Wrong answer on test 8,187 ms,2400 KB
17987148,2016-05-19 10:04:06,574A - Bear and Elections,GNU C++11,Accepted,31 ms,2200 KB
17986780,2016-05-19 09:26:11,618A - Slime Combining,GNU C++11,Accepted,30 ms,6100 KB
17986641,2016-05-19 09:08:58,604A - Uncowed Forces,GNU C++11,Accepted,31 ms,2200 KB
17986353,2016-05-19 08:32:30,479C - Exams,GNU C++11,Accepted,46 ms,2300 KB
17986331,2016-05-19 08:28:58,276A - Lunch Rush,GNU C++11,Accepted,124 ms,2200 KB
17986324,2016-05-19 08:27:34,276A - Lunch Rush,GNU C++11,Wrong answer on test 9,92 ms,2200 KB
17986288,2016-05-19 08:21:06,276A - Lunch Rush,GNU C++11,Wrong answer on test 3,30 ms,2000 KB
17986268,2016-05-19 08:18:08,385A - Bear and Raspberry,GNU C++11,Accepted,15 ms,2200 KB
17986180,2016-05-19 07:59:02,255A - Greg's Workout,GNU C++11,Accepted,30 ms,2200 KB
17986169,2016-05-19 07:56:58,255A - Greg's Workout,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17986135,2016-05-19 07:48:56,334A - Candy Bags,GNU C++11,Accepted,30 ms,2100 KB
17986127,2016-05-19 07:47:23,334A - Candy Bags,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17985947,2016-05-19 07:06:41,313B - Ilya and Queries,GNU C++11,Accepted,1370 ms,2800 KB
17985899,2016-05-19 06:56:00,313B - Ilya and Queries,GNU C++11,Time limit exceeded on test 10,2000 ms,2200 KB
17985877,2016-05-19 06:49:33,463B - Caisa and Pylons,GNU C++11,Accepted,187 ms,2600 KB
17985873,2016-05-19 06:48:28,463B - Caisa and Pylons,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
17985852,2016-05-19 06:41:09,496A - Minimum Difficulty,GNU C++11,Accepted,15 ms,2000 KB
17985850,2016-05-19 06:40:42,496A - Minimum Difficulty,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
17985845,2016-05-19 06:39:25,496A - Minimum Difficulty,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
17985842,2016-05-19 06:38:52,496A - Minimum Difficulty,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17985838,2016-05-19 06:38:14,496A - Minimum Difficulty,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17982026,2016-05-18 18:29:51,451B - Sort the Array,GNU C++11,Accepted,31 ms,2600 KB
17981827,2016-05-18 18:13:30,534A - Exam,GNU C++11,Accepted,15 ms,2200 KB
17981770,2016-05-18 18:10:10,534A - Exam,GNU C++11,Wrong answer on test 5,15 ms,2000 KB
17981746,2016-05-18 18:08:32,534A - Exam,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17981725,2016-05-18 18:06:51,534A - Exam,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
17981585,2016-05-18 17:55:54,501A - Contest,GNU C++11,Accepted,15 ms,2200 KB
17981521,2016-05-18 17:50:48,557A - Ilya and Diplomas,GNU C++11,Accepted,15 ms,2200 KB
17981513,2016-05-18 17:50:21,557A - Ilya and Diplomas,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
17981426,2016-05-18 17:42:51,557A - Ilya and Diplomas,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
