ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8607
19807402,2016-08-11 21:08:16,706C - Hard problem,GNU C++,Wrong answer on pretest 8,31 ms,5800 KB
19807226,2016-08-11 21:07:03,706C - Hard problem,GNU C++,Wrong answer on pretest 10,46 ms,5800 KB
19806760,2016-08-11 21:03:58,706C - Hard problem,GNU C++,Wrong answer on pretest 8,62 ms,5400 KB
19803827,2016-08-11 20:44:26,706C - Hard problem,GNU C++,Wrong answer on pretest 8,31 ms,5400 KB
19800751,2016-08-11 20:29:05,706B - Interesting drink,GNU C++,Accepted,374 ms,2800 KB
19798430,2016-08-11 20:17:37,706B - Interesting drink,GNU C++,Wrong answer on pretest 5,15 ms,2000 KB
19796241,2016-08-11 20:06:24,706B - Interesting drink,GNU C++,Wrong answer on pretest 5,15 ms,2000 KB
19791979,2016-08-11 19:48:43,706A - Beru-taxi,GNU C++,Accepted,31 ms,2000 KB
19644735,2016-08-05 09:01:09,703B - Mishka and trip,GNU C++,Wrong answer on test 19,140 ms,4400 KB
19642576,2016-08-05 06:10:22,703B - Mishka and trip,GNU C++,Wrong answer on test 11,109 ms,3200 KB
19636411,2016-08-04 20:26:42,703B - Mishka and trip,GNU C++,Time limit exceeded on pretest 10,1000 ms,3200 KB
19634661,2016-08-04 20:14:34,703B - Mishka and trip,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
19619980,2016-08-04 18:20:31,703A - Mishka and Game,GNU C++,Accepted,15 ms,2000 KB
19585307,2016-08-02 21:46:16,600C - Make Palindrome,GNU C++,Wrong answer on test 7,15 ms,0 KB
19584891,2016-08-02 21:20:40,600C - Make Palindrome,GNU C++,Wrong answer on test 2,0 ms,0 KB
19151749,2016-07-15 14:32:32,691D - Swaps in Permutation,GNU C++,Time limit exceeded on test 21,5000 ms,35200 KB
19151676,2016-07-15 14:28:56,691E - Xor-sequences,GNU C++,Runtime error on test 1,0 ms,19500 KB
