ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1674
11799544,2015-06-27 18:27:50,555C - Case of Chocolate,GNU C++11,Accepted,1450 ms,155900 KB
11798906,2015-06-27 18:22:52,555C - Case of Chocolate,GNU C++11,Memory limit exceeded on pretest 4,451 ms,262100 KB
11793772,2015-06-27 17:49:10,555B - Case of Fugitive,GNU C++11,Accepted,717 ms,21200 KB
11793073,2015-06-27 17:45:16,555B - Case of Fugitive,GNU C++11,Wrong answer on pretest 1,15 ms,11700 KB
11788043,2015-06-27 17:21:38,555A - Case of Matryoshkas,GNU C++11,Accepted,280 ms,400 KB
11787236,2015-06-27 17:18:29,555A - Case of Matryoshkas,GNU C++11,Wrong answer on pretest 6,15 ms,400 KB
11302315,2015-05-26 21:23:27,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 9,15 ms,15700 KB
11302165,2015-05-26 21:22:40,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 9,15 ms,15700 KB
11301155,2015-05-26 21:17:04,547A - Mike and Frog,GNU C++11,Runtime error on pretest 9,15 ms,15700 KB
11300970,2015-05-26 21:16:13,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 1,0 ms,15700 KB
11297077,2015-05-26 20:55:14,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 9,15 ms,15700 KB
11295210,2015-05-26 20:44:51,547B - Mike and Feet,GNU C++11,Accepted,623 ms,8000 KB
11293851,2015-05-26 20:37:47,547B - Mike and Feet,GNU C++11,Wrong answer on pretest 4,15 ms,8800 KB
11290070,2015-05-26 20:18:55,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 6,15 ms,15700 KB
11289943,2015-05-26 20:18:21,547A - Mike and Frog,GNU C++11,Runtime error on pretest 1,15 ms,15700 KB
11286501,2015-05-26 20:02:39,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 6,15 ms,15700 KB
11283901,2015-05-26 19:51:29,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 6,15 ms,15700 KB
11283556,2015-05-26 19:50:02,547A - Mike and Frog,GNU C++11,Runtime error on pretest 1,0 ms,15700 KB
11282918,2015-05-26 19:47:17,547A - Mike and Frog,GNU C++11,Wrong answer on pretest 6,31 ms,15700 KB
11195699,2015-05-22 00:48:26,242E - XOR on Segment,GNU C++11,Accepted,746 ms,22400 KB
11195689,2015-05-22 00:46:55,242E - XOR on Segment,GNU C++11,Wrong answer on test 1,30 ms,200 KB
11032864,2015-05-07 21:26:39,543D - Road Improvement,GNU C++11,Accepted,483 ms,18000 KB
11032142,2015-05-07 21:16:53,543D - Road Improvement,GNU C++11,Skipped,15 ms,5500 KB
11028492,2015-05-07 20:30:48,543B - Destroying Roads,GNU C++11,Accepted,327 ms,35400 KB
