ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1412
18081092,2016-05-25 18:52:06,676C - Vasya and String,GNU C++11,Accepted,30 ms,2300 KB
18073863,2016-05-25 18:09:59,676A - Nicholas and Permutation,GNU C++11,Accepted,15 ms,2200 KB
17954404,2016-05-16 21:34:38,675D - Tree Construction,GNU C++11,Wrong answer on pretest 2,15 ms,17100 KB
17951170,2016-05-16 21:06:46,675C - Money Transfers,GNU C++11,Accepted,78 ms,7700 KB
17950944,2016-05-16 21:04:46,675C - Money Transfers,GNU C++11,Wrong answer on pretest 5,0 ms,3600 KB
17950802,2016-05-16 21:03:23,675C - Money Transfers,GNU C++11,Wrong answer on pretest 5,15 ms,2800 KB
17939587,2016-05-16 19:52:43,675B - Restoring Painting,GNU C++11,Accepted,31 ms,2200 KB
17934471,2016-05-16 19:38:16,675A - Infinite Sequence,GNU C++11,Accepted,15 ms,2200 KB
17870410,2016-05-12 08:39:42,672D - Robin Hood,GNU C++11,Compilation error,0 ms,0 KB
17855810,2016-05-11 20:31:49,672C - Recycling Bottles,GNU C++11,Hacked,78 ms,12600 KB
17855200,2016-05-11 20:26:01,672C - Recycling Bottles,GNU C++11,Wrong answer on pretest 8,78 ms,14300 KB
17854980,2016-05-11 20:23:55,672C - Recycling Bottles,GNU C++11,Wrong answer on pretest 8,78 ms,14300 KB
17854887,2016-05-11 20:23:02,672C - Recycling Bottles,GNU C++11,Wrong answer on pretest 8,62 ms,14300 KB
17854827,2016-05-11 20:22:33,672C - Recycling Bottles,GNU C++11,Wrong answer on pretest 1,0 ms,2000 KB
17854074,2016-05-11 20:16:32,672C - Recycling Bottles,GNU C++11,Wrong answer on pretest 4,15 ms,2000 KB
17848130,2016-05-11 19:44:30,672B - Different is Good,GNU C++11,Accepted,31 ms,2300 KB
17846511,2016-05-11 19:38:40,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
13987559,2015-10-31 20:57:20,592C - The Big Race,GNU C++11,Accepted,15 ms,0 KB
13985676,2015-10-31 20:43:23,592C - The Big Race,GNU C++11,Hacked,15 ms,0 KB
13982995,2015-10-31 20:24:55,592A - PawnChess,GNU C++11,Accepted,15 ms,0 KB
13982758,2015-10-31 20:23:21,592A - PawnChess,GNU C++11,Runtime error on hack 2,15 ms,0 KB
13982173,2015-10-31 20:19:50,592A - PawnChess,GNU C++11,Runtime error on hack 2,15 ms,0 KB
13981207,2015-10-31 20:13:05,592A - PawnChess,GNU C++11,Hacked,15 ms,0 KB
13975697,2015-10-31 19:44:39,592B - The Monster and the Squirrel,GNU C++11,Accepted,15 ms,0 KB
13974688,2015-10-31 19:39:58,592A - PawnChess,GNU C++11,Hacked,15 ms,0 KB
12374014,2015-08-05 21:24:23,567E - President and Roads,GNU C++11,Wrong answer on test 63,234 ms,30500 KB
12372507,2015-08-05 21:09:16,567E - President and Roads,GNU C++11,Wrong answer on pretest 12,15 ms,7000 KB
